,Descrição,Valor,Deputado,Data
1488,Serviços de Telecomunicações - Pacote de Dados,"446,40",ELMANO,01/07/2019
1489,Vale-Refeição e Vale-Alimentação,"2.648,25",ELMANO,01/07/2019
1490,Combustíveis e Lubrificantes Automotivos,"6.000,00",ERIKA AMORIM,01/07/2019
1491,Divulgação das Atividades Parlamentares,"10.150,00",ERIKA AMORIM,01/07/2019
1492,Passagens Aéreas,"2.064,33",ERIKA AMORIM,01/07/2019
1493,Serviços Gráficos e Editoriais,"2.192,00",ERIKA AMORIM,01/07/2019
1494,Vale-Refeição e Vale-Alimentação,"4.815,00",ERIKA AMORIM,01/07/2019
1495,Combustíveis e Lubrificantes Automotivos,"6.000,00",EVANDRO LEITAO,01/07/2019
1496,Serviços Gráficos e Editoriais,"8.904,00",EVANDRO LEITAO,01/07/2019
1497,Serviços Técnicos Profissionais,"24.660,00",EVANDRO LEITAO,01/07/2019
1498,Serviços de Telecomunicações - Pacote de Dados,"30,90",EVANDRO LEITAO,01/07/2019
1499,Vale-Refeição e Vale-Alimentação,"3.852,00",EVANDRO LEITAO,01/07/2019
1500,Combustíveis e Lubrificantes Automotivos,"6.000,00",FERNANDA PESSOA,01/07/2019
1501,Despesas de Teleprocessamento,"550,00",FERNANDA PESSOA,01/07/2019
1502,Divulgação das Atividades Parlamentares,"11.000,00",FERNANDA PESSOA,01/07/2019
1503,Serviços Técnicos Profissionais,"3.060,00",FERNANDA PESSOA,01/07/2019
1504,Serviços de Telecomunicações - Pacote de Dados,"748,51",FERNANDA PESSOA,01/07/2019
1505,Vale-Refeição e Vale-Alimentação,"4.815,00",FERNANDA PESSOA,01/07/2019
1506,Combustíveis e Lubrificantes Automotivos,"6.000,00",FERNANDO HUGO,01/07/2019
1507,Passagens Aéreas,"7.458,25",FERNANDO HUGO,01/07/2019
1508,Serviços Técnicos Profissionais,"13.500,00",FERNANDO HUGO,01/07/2019
1509,Serviços de Telecomunicações - Pacote de Dados,"4.254,13",FERNANDO HUGO,01/07/2019
1510,Vale-Refeição e Vale-Alimentação,"1.926,00",FERNANDO HUGO,01/07/2019
1511,Divulgação das Atividades Parlamentares,"8.000,00",FERNANDO SANTANA,01/07/2019
1512,Serviços Técnicos Profissionais,"25.020,00",FERNANDO SANTANA,01/07/2019
1513,Serviços de Telecomunicações - Pacote de Dados,"862,54",FERNANDO SANTANA,01/07/2019
1514,Vale-Refeição e Vale-Alimentação,"4.333,50",FERNANDO SANTANA,01/07/2019
1515,Combustíveis e Lubrificantes Automotivos,"6.000,00",GUILHERME LANDIM,01/07/2019
1516,Convênio com Plano de Saúde,"2.830,04",GUILHERME LANDIM,01/07/2019
1517,Divulgação das Atividades Parlamentares,"1.000,00",GUILHERME LANDIM,01/07/2019
1518,Passagens Terrestres,"820,03",GUILHERME LANDIM,01/07/2019
1519,Serviços de Comunicação em Geral,"30,50",GUILHERME LANDIM,01/07/2019
1520,Serviços de Telecomunicações - Pacote de Dados,"681,53",GUILHERME LANDIM,01/07/2019
1521,Vale-Refeição e Vale-Alimentação,"4.815,00",GUILHERME LANDIM,01/07/2019
1522,Assinaturas de Periódicos e Anuidades,"797,98",HEITOR FERRER,01/07/2019
1523,Combustíveis e Lubrificantes Automotivos,"4.000,00",HEITOR FERRER,01/07/2019
1524,Convênio com Plano de Saúde,"1.689,28",HEITOR FERRER,01/07/2019
1525,Divulgação das Atividades Parlamentares,"2.900,00",HEITOR FERRER,01/07/2019
1526,Serviços Gráficos e Editoriais,"19.200,00",HEITOR FERRER,01/07/2019
1527,Serviços de Telecomunicações,"22,32",HEITOR FERRER,01/07/2019
1528,Serviços de Telecomunicações - Pacote de Dados,"2.084,49",HEITOR FERRER,01/07/2019
1529,Vale-Refeição e Vale-Alimentação,"4.812,11",HEITOR FERRER,01/07/2019
1530,Combustíveis e Lubrificantes Automotivos,"6.000,00",JEOVA MOTA,01/07/2019
1531,Divulgação das Atividades Parlamentares,"8.000,00",JEOVA MOTA,01/07/2019
1532,Serviços Técnicos Profissionais,"8.100,00",JEOVA MOTA,01/07/2019
1533,Vale-Refeição e Vale-Alimentação,"1.444,50",JEOVA MOTA,01/07/2019
1534,Combustíveis e Lubrificantes Automotivos,"6.000,00",JOAO JAIME,01/07/2019
1535,Divulgação das Atividades Parlamentares,"500,00",JOAO JAIME,01/07/2019
1536,Serviços Técnicos Profissionais,"18.380,00",JOAO JAIME,01/07/2019
1537,Vale-Refeição e Vale-Alimentação,"3.852,00",JOAO JAIME,01/07/2019
1538,Combustíveis e Lubrificantes Automotivos,"6.000,00",LEONARDO ARAUJO,01/07/2019
1539,Divulgação das Atividades Parlamentares,"8.000,00",LEONARDO ARAUJO,01/07/2019
1540,Locação de Veículos,"1.496,00",LEONARDO ARAUJO,01/07/2019
1541,Passagens Aéreas,"612,29",LEONARDO ARAUJO,01/07/2019
1542,Serviços Gráficos e Editoriais,"1.752,00",LEONARDO ARAUJO,01/07/2019
1543,Serviços Técnicos Profissionais,"3.060,00",LEONARDO ARAUJO,01/07/2019
1544,Serviços de Telecomunicações - Pacote de Dados,"1.742,95",LEONARDO ARAUJO,01/07/2019
1545,Vale-Refeição e Vale-Alimentação,"4.815,00",LEONARDO ARAUJO,01/07/2019
1546,Combustíveis e Lubrificantes Automotivos,"6.000,00",LEONARDO PINHEIRO,01/07/2019
1547,Divulgação das Atividades Parlamentares,"400,00",LEONARDO PINHEIRO,01/07/2019
1548,Serviços Técnicos Profissionais,"23.940,00",LEONARDO PINHEIRO,01/07/2019
1549,Vale-Refeição e Vale-Alimentação,"3.370,50",LEONARDO PINHEIRO,01/07/2019
1550,Combustíveis e Lubrificantes Automotivos,"6.000,00",LUCILVIO GIRAO,01/07/2019
1551,Convênio com Plano de Saúde,"1.651,62",LUCILVIO GIRAO,01/07/2019
1552,Serviços Técnicos Profissionais,"21.060,00",LUCILVIO GIRAO,01/07/2019
1553,Serviços de Telecomunicações - Pacote de Dados,"77,62",LUCILVIO GIRAO,01/07/2019
1554,Vale-Refeição e Vale-Alimentação,"2.407,50",LUCILVIO GIRAO,01/07/2019
1555,Combustíveis e Lubrificantes Automotivos,"6.000,00",MANOEL DUCA,01/07/2019
1556,Convênio com Plano de Saúde,"2.133,93",MANOEL DUCA,01/07/2019
1557,Passagens Terrestres,"1.649,11",MANOEL DUCA,01/07/2019
1558,Serviços Técnicos Profissionais,"8.280,00",MANOEL DUCA,01/07/2019
1559,Serviços de Telecomunicações - Pacote de Dados,"336,73",MANOEL DUCA,01/07/2019
1560,Vale-Refeição e Vale-Alimentação,"1.877,85",MANOEL DUCA,01/07/2019
1561,Combustíveis e Lubrificantes Automotivos,"6.000,00",MARCOS SOBREIRA,01/07/2019
1562,Divulgação das Atividades Parlamentares,"11.000,00",MARCOS SOBREIRA,01/07/2019
1563,Passagens Terrestres,"159,62",MARCOS SOBREIRA,01/07/2019
1564,Serviços Gráficos e Editoriais,"7.988,16",MARCOS SOBREIRA,01/07/2019
1565,Serviços Técnicos Profissionais,"12.960,00",MARCOS SOBREIRA,01/07/2019
1566,Serviços de Comunicação em Geral,"432,11",MARCOS SOBREIRA,01/07/2019
1567,Serviços de Telecomunicações - Pacote de Dados,"279,09",MARCOS SOBREIRA,01/07/2019
1568,Vale-Refeição e Vale-Alimentação,"3.081,60",MARCOS SOBREIRA,01/07/2019
1569,Combustíveis e Lubrificantes Automotivos,"6.000,00",MOISES BRAZ,01/07/2019
1570,Convênio com Plano de Saúde,"3.791,22",MOISES BRAZ,01/07/2019
1571,Despesas de Teleprocessamento,"470,00",MOISES BRAZ,01/07/2019
1572,Divulgação das Atividades Parlamentares,"2.800,00",MOISES BRAZ,01/07/2019
1573,Locação de Veículos,"12.070,00",MOISES BRAZ,01/07/2019
1574,Serviços de Telecomunicações - Pacote de Dados,"758,41",MOISES BRAZ,01/07/2019
1575,Vale-Refeição e Vale-Alimentação,"4.066,27",MOISES BRAZ,01/07/2019
1576,Combustíveis e Lubrificantes Automotivos,"6.000,00",NELINHO,01/07/2019
1577,Convênio com Plano de Saúde,"716,83",NELINHO,01/07/2019
1578,Despesas de Teleprocessamento,"795,65",NELINHO,01/07/2019
1579,Divulgação das Atividades Parlamentares,"10.500,00",NELINHO,01/07/2019
1580,Passagens Aéreas,"2.419,55",NELINHO,01/07/2019
1581,Serviços de Telecomunicações - Pacote de Dados,"168,60",NELINHO,01/07/2019
1582,Vale-Refeição e Vale-Alimentação,"4.815,00",NELINHO,01/07/2019
1583,Divulgação das Atividades Parlamentares,"7.900,00",NEZINHO FARIAS,01/07/2019
1584,Locação de Veículos,"10.880,00",NEZINHO FARIAS,01/07/2019
1585,Serviços Técnicos Profissionais,"6.120,00",NEZINHO FARIAS,01/07/2019
1586,Serviços de Telecomunicações - Pacote de Dados,"1.020,04",NEZINHO FARIAS,01/07/2019
1587,Vale-Refeição e Vale-Alimentação,"4.815,00",NEZINHO FARIAS,01/07/2019
1588,Combustíveis e Lubrificantes Automotivos,"5.000,00",NIZO COSTA,01/07/2019
1589,Convênio com Plano de Saúde,"1.944,57",NIZO COSTA,01/07/2019
1590,Divulgação das Atividades Parlamentares,"8.000,00",NIZO COSTA,01/07/2019
1591,Locação de Veículos,"20.400,00",NIZO COSTA,01/07/2019
1592,Passagens Aéreas,"679,09",NIZO COSTA,01/07/2019
1593,Serviços Técnicos Profissionais,"12.960,00",NIZO COSTA,01/07/2019
1594,Serviços de Comunicação em Geral,"59,22",NIZO COSTA,01/07/2019
1595,Vale-Refeição e Vale-Alimentação,"3.852,00",NIZO COSTA,01/07/2019
1596,Combustíveis e Lubrificantes Automotivos,"6.000,00",OSMAR BAQUIT,01/07/2019
1597,Divulgação das Atividades Parlamentares,"7.500,00",OSMAR BAQUIT,01/07/2019
1598,Serviços Técnicos Profissionais,"6.480,00",OSMAR BAQUIT,01/07/2019
1599,Serviços de Telecomunicações - Pacote de Dados,"2.411,34",OSMAR BAQUIT,01/07/2019
1600,Vale-Refeição e Vale-Alimentação,"4.815,00",OSMAR BAQUIT,01/07/2019
1601,Combustíveis e Lubrificantes Automotivos,"1.500,00",PATRICIA AGUIAR,01/07/2019
1602,Despesas de Teleprocessamento,"8.000,00",PATRICIA AGUIAR,01/07/2019
1603,Divulgação das Atividades Parlamentares,"4.000,00",PATRICIA AGUIAR,01/07/2019
1604,Serviços Técnicos Profissionais,"15.480,00",PATRICIA AGUIAR,01/07/2019
1605,Serviços de Comunicação em Geral,"29,25",PATRICIA AGUIAR,01/07/2019
1606,Serviços de Telecomunicações - Pacote de Dados,"1.611,07",PATRICIA AGUIAR,01/07/2019
1607,Vale-Refeição e Vale-Alimentação,"3.852,00",PATRICIA AGUIAR,01/07/2019
1608,Combustíveis e Lubrificantes Automotivos,"6.000,00",QUEIROZ FILHO,01/07/2019
1609,Convênio com Plano de Saúde,"1.455,43",QUEIROZ FILHO,01/07/2019
1610,Divulgação das Atividades Parlamentares,"2.500,00",QUEIROZ FILHO,01/07/2019
1611,Locação de Aeronaves,"17.999,76",QUEIROZ FILHO,01/07/2019
1612,Serviços de Telecomunicações - Pacote de Dados,"163,99",QUEIROZ FILHO,01/07/2019
1613,Vale-Refeição e Vale-Alimentação,"4.815,00",QUEIROZ FILHO,01/07/2019
1614,Combustíveis e Lubrificantes Automotivos,"2.600,00",RENATO ROSENO,01/07/2019
1615,Convênio com Plano de Saúde,"985,76",RENATO ROSENO,01/07/2019
1616,Locação de Aeronaves,"-2.125,00",RENATO ROSENO,01/07/2019
1617,Locação de Veículos,"7.505,00",RENATO ROSENO,01/07/2019
1618,Passagens Aéreas,"2.376,11",RENATO ROSENO,01/07/2019
1619,Serviços Gráficos e Editoriais,"5.536,00",RENATO ROSENO,01/07/2019
1620,Serviços de Comunicação em Geral,"37,28",RENATO ROSENO,01/07/2019
1621,Serviços de Telecomunicações - Pacote de Dados,"317,47",RENATO ROSENO,01/07/2019
1622,Vale-Refeição e Vale-Alimentação,"4.815,00",RENATO ROSENO,01/07/2019
1623,Combustíveis e Lubrificantes Automotivos,"700,00",ROMEU ALDIGUERI,01/07/2019
1624,Convênio com Plano de Saúde,"2.082,70",ROMEU ALDIGUERI,01/07/2019
1625,Divulgação das Atividades Parlamentares,"1.000,00",ROMEU ALDIGUERI,01/07/2019
1626,Serviços Técnicos Profissionais,"13.040,00",ROMEU ALDIGUERI,01/07/2019
1627,Vale-Refeição e Vale-Alimentação,"4.815,00",ROMEU ALDIGUERI,01/07/2019
1628,Combustíveis e Lubrificantes Automotivos,"6.000,00",SALMITO,01/07/2019
1629,Divulgação das Atividades Parlamentares,"3.000,00",SALMITO,01/07/2019
1630,Serviços Gráficos e Editoriais,"1.192,00",SALMITO,01/07/2019
1631,Serviços Técnicos Profissionais,"7.000,00",SALMITO,01/07/2019
1632,Vale-Refeição e Vale-Alimentação,"4.815,00",SALMITO,01/07/2019
1633,Combustíveis e Lubrificantes Automotivos,"6.000,00",SERGIO AGUIAR,01/07/2019
1634,Despesas de Teleprocessamento,"2.500,00",SERGIO AGUIAR,01/07/2019
1635,Divulgação das Atividades Parlamentares,"6.200,00",SERGIO AGUIAR,01/07/2019
1636,Passagens Aéreas,"590,77",SERGIO AGUIAR,01/07/2019
1637,Passagens Terrestres,"903,91",SERGIO AGUIAR,01/07/2019
1638,Seguros em Geral,"1.049,81",SERGIO AGUIAR,01/07/2019
1639,Serviços Gráficos e Editoriais,"1.808,00",SERGIO AGUIAR,01/07/2019
1640,Serviços Técnicos Profissionais,"5.580,00",SERGIO AGUIAR,01/07/2019
1641,Serviços de Comunicação em Geral,"153,80",SERGIO AGUIAR,01/07/2019
1642,Serviços de Telecomunicações,"21,79",SERGIO AGUIAR,01/07/2019
1643,Serviços de Telecomunicações - Pacote de Dados,"1.577,08",SERGIO AGUIAR,01/07/2019
1644,Vale-Refeição e Vale-Alimentação,"4.815,00",SERGIO AGUIAR,01/07/2019
1645,Combustíveis e Lubrificantes Automotivos,"6.000,00",SOLDADO NOELIO,01/07/2019
1646,Hospedagens,"550,03",SOLDADO NOELIO,01/07/2019
1647,Serviços Gráficos e Editoriais,"6.982,80",SOLDADO NOELIO,01/07/2019
1648,Serviços Técnicos Profissionais,"11.900,00",SOLDADO NOELIO,01/07/2019
1649,Vale-Refeição e Vale-Alimentação,"4.815,00",SOLDADO NOELIO,01/07/2019
1650,Combustíveis e Lubrificantes Automotivos,"6.000,00",TIN GOMES,01/07/2019
1651,Convênio com Plano de Saúde,"5.884,32",TIN GOMES,01/07/2019
1652,Divulgação das Atividades Parlamentares,"3.400,00",TIN GOMES,01/07/2019
1653,Passagens Aéreas,"5.108,81",TIN GOMES,01/07/2019
1654,Serviços de Telecomunicações - Pacote de Dados,"2.146,67",TIN GOMES,01/07/2019
1655,Vale-Refeição e Vale-Alimentação,"4.815,00",TIN GOMES,01/07/2019
1656,Combustíveis e Lubrificantes Automotivos,"6.000,00",VITOR VALIM,01/07/2019
1657,Despesas de Teleprocessamento,"99,90",VITOR VALIM,01/07/2019
1658,Divulgação das Atividades Parlamentares,"800,00",VITOR VALIM,01/07/2019
1659,Serviços Técnicos Profissionais,"8.000,00",VITOR VALIM,01/07/2019
1660,Serviços de Telecomunicações - Pacote de Dados,"1.429,85",VITOR VALIM,01/07/2019
1661,Vale-Refeição e Vale-Alimentação,"3.852,00",VITOR VALIM,01/07/2019
1662,Combustíveis e Lubrificantes Automotivos,"6.000,00",WALTER CAVALCANTE,01/07/2019
1663,Despesas de Teleprocessamento,"2.000,00",WALTER CAVALCANTE,01/07/2019
1664,Divulgação das Atividades Parlamentares,"3.500,00",WALTER CAVALCANTE,01/07/2019
1665,Locação de Veículos,"3.570,00",WALTER CAVALCANTE,01/07/2019
1666,Seguros em Geral,"1.453,18",WALTER CAVALCANTE,01/07/2019
1667,Serviços Gráficos e Editoriais,"7.996,80",WALTER CAVALCANTE,01/07/2019
1668,Serviços Técnicos Profissionais,"10.800,00",WALTER CAVALCANTE,01/07/2019
1669,Serviços de Comunicação em Geral,"1.113,78",WALTER CAVALCANTE,01/07/2019
1670,Serviços de Telecomunicações - Pacote de Dados,"1.641,88",WALTER CAVALCANTE,01/07/2019
1671,Vale-Refeição e Vale-Alimentação,"3.852,00",WALTER CAVALCANTE,01/07/2019
1672,Combustíveis e Lubrificantes Automotivos,"6.000,00",ADERLANIA NORONHA,01/08/2019
1673,Convênio com Plano de Saúde,"1.773,84",ADERLANIA NORONHA,01/08/2019
1674,Divulgação das Atividades Parlamentares,"4.400,00",ADERLANIA NORONHA,01/08/2019
1675,Passagens Aéreas,"6.986,56",ADERLANIA NORONHA,01/08/2019
1676,Passagens Terrestres,"1.117,41",ADERLANIA NORONHA,01/08/2019
1677,Serviços Técnicos Profissionais,"7.020,00",ADERLANIA NORONHA,01/08/2019
1678,Serviços de Telecomunicações - Pacote de Dados,"369,48",ADERLANIA NORONHA,01/08/2019
1679,Vale-Refeição e Vale-Alimentação,"4.815,00",ADERLANIA NORONHA,01/08/2019
1680,Combustíveis e Lubrificantes Automotivos,"6.000,00",AGENOR NETO,01/08/2019
1681,Convênio com Plano de Saúde,"2.298,79",AGENOR NETO,01/08/2019
1682,Despesas de Teleprocessamento,"130,84",AGENOR NETO,01/08/2019
1683,Divulgação das Atividades Parlamentares,"2.700,00",AGENOR NETO,01/08/2019
1684,Passagens Aéreas,"2.911,04",AGENOR NETO,01/08/2019
1685,Passagens Terrestres,"1.467,97",AGENOR NETO,01/08/2019
1686,Serviços Gráficos e Editoriais,"4.000,00",AGENOR NETO,01/08/2019
1687,Serviços Técnicos Profissionais,"3.500,00",AGENOR NETO,01/08/2019
1688,Serviços de Telecomunicações - Pacote de Dados,"1.391,21",AGENOR NETO,01/08/2019
1689,Vale-Refeição e Vale-Alimentação,"4.815,00",AGENOR NETO,01/08/2019
1690,Assinaturas de Periódicos e Anuidades,"444,07",ANDRE FERNANDES,01/08/2019
1691,Combustíveis e Lubrificantes Automotivos,"2.500,00",ANDRE FERNANDES,01/08/2019
1692,Convênio com Plano de Saúde,"1.678,74",ANDRE FERNANDES,01/08/2019
1693,Despesas de Teleprocessamento,"212,33",ANDRE FERNANDES,01/08/2019
1694,Hospedagens,"970,81",ANDRE FERNANDES,01/08/2019
1695,Passagens Aéreas,"6.377,87",ANDRE FERNANDES,01/08/2019
1696,Serviços de Telecomunicações - Pacote de Dados,"610,08",ANDRE FERNANDES,01/08/2019
1697,Vale-Refeição e Vale-Alimentação,"4.815,00",ANDRE FERNANDES,01/08/2019
1698,Assinaturas de Periódicos e Anuidades,"417,81",ANTONIO GRANJA,01/08/2019
1699,Combustíveis e Lubrificantes Automotivos,"6.000,00",ANTONIO GRANJA,01/08/2019
1700,Convênio com Plano de Saúde,"4.561,56",ANTONIO GRANJA,01/08/2019
1701,Divulgação das Atividades Parlamentares,"8.000,00",ANTONIO GRANJA,01/08/2019
1702,Serviços Técnicos Profissionais,"9.000,00",ANTONIO GRANJA,01/08/2019
1703,Serviços de Telecomunicações - Pacote de Dados,"351,17",ANTONIO GRANJA,01/08/2019
1704,Vale-Refeição e Vale-Alimentação,"3.852,00",ANTONIO GRANJA,01/08/2019
1705,Assinaturas de Periódicos e Anuidades,"363,60",AP. LUIZ HENRIQUE,01/08/2019
1706,Combustíveis e Lubrificantes Automotivos,"6.000,00",AP. LUIZ HENRIQUE,01/08/2019
1707,Convênio com Plano de Saúde,"1.257,01",AP. LUIZ HENRIQUE,01/08/2019
1708,Divulgação das Atividades Parlamentares,"5.600,00",AP. LUIZ HENRIQUE,01/08/2019
1709,Hospedagens,"228,90",AP. LUIZ HENRIQUE,01/08/2019
1710,Passagens Aéreas,"14.818,89",AP. LUIZ HENRIQUE,01/08/2019
1711,Serviços de Telecomunicações - Pacote de Dados,"674,55",AP. LUIZ HENRIQUE,01/08/2019
1712,Vale-Refeição e Vale-Alimentação,"4.815,00",AP. LUIZ HENRIQUE,01/08/2019
1713,Combustíveis e Lubrificantes Automotivos,"6.000,00",AUDIC MOTA,01/08/2019
1714,Convênio com Plano de Saúde,"1.290,88",AUDIC MOTA,01/08/2019
1715,Divulgação das Atividades Parlamentares,"4.100,00",AUDIC MOTA,01/08/2019
1716,Seguros em Geral,"504,04",AUDIC MOTA,01/08/2019
1717,Serviços Técnicos Profissionais,"13.080,00",AUDIC MOTA,01/08/2019
1718,Serviços de Telecomunicações - Pacote de Dados,"1.461,63",AUDIC MOTA,01/08/2019
1719,Vale-Refeição e Vale-Alimentação,"4.815,00",AUDIC MOTA,01/08/2019
1720,Combustíveis e Lubrificantes Automotivos,"6.000,00",AUGUSTA BRITO,01/08/2019
1721,Convênio com Plano de Saúde,"2.719,16",AUGUSTA BRITO,01/08/2019
1722,Locação de Veículos,"686,40",AUGUSTA BRITO,01/08/2019
1723,Passagens Aéreas,"6.174,35",AUGUSTA BRITO,01/08/2019
1724,Serviços Técnicos Profissionais,"10.080,00",AUGUSTA BRITO,01/08/2019
1725,Serviços de Telecomunicações - Pacote de Dados,"1.211,50",AUGUSTA BRITO,01/08/2019
1726,Vale-Refeição e Vale-Alimentação,"4.815,00",AUGUSTA BRITO,01/08/2019
1727,Combustíveis e Lubrificantes Automotivos,"6.000,00",BRUNO GONCALVES,01/08/2019
1728,Locação de Veículos,"7.140,00",BRUNO GONCALVES,01/08/2019
1729,Serviços Técnicos Profissionais,"4.000,00",BRUNO GONCALVES,01/08/2019
1730,Serviços de Telecomunicações - Pacote de Dados,"31,90",BRUNO GONCALVES,01/08/2019
1731,Vale-Refeição e Vale-Alimentação,"3.852,00",BRUNO GONCALVES,01/08/2019
1732,Combustíveis e Lubrificantes Automotivos,"6.000,00",BRUNO PEDROSA,01/08/2019
1733,Convênio com Plano de Saúde,"1.182,64",BRUNO PEDROSA,01/08/2019
1734,Divulgação das Atividades Parlamentares,"900,00",BRUNO PEDROSA,01/08/2019
1735,Serviços Técnicos Profissionais,"18.000,00",BRUNO PEDROSA,01/08/2019
1736,Vale-Refeição e Vale-Alimentação,"1.926,00",BRUNO PEDROSA,01/08/2019
1737,Combustíveis e Lubrificantes Automotivos,"5.300,00",CARLOS FELIPE,01/08/2019
1738,Divulgação das Atividades Parlamentares,"8.000,00",CARLOS FELIPE,01/08/2019
1739,Passagens Aéreas,"3.719,64",CARLOS FELIPE,01/08/2019
1740,Serviços de Telecomunicações - Pacote de Dados,"1.049,21",CARLOS FELIPE,01/08/2019
1741,Vale-Refeição e Vale-Alimentação,"4.815,00",CARLOS FELIPE,01/08/2019
1742,Combustíveis e Lubrificantes Automotivos,"6.000,00",DANNIEL OLIVEIRA,01/08/2019
1743,Divulgação das Atividades Parlamentares,"3.150,00",DANNIEL OLIVEIRA,01/08/2019
1744,Hospedagens,"4.915,13",DANNIEL OLIVEIRA,01/08/2019
1745,Passagens Aéreas,"11.983,79",DANNIEL OLIVEIRA,01/08/2019
1746,Passagens Terrestres,"626,17",DANNIEL OLIVEIRA,01/08/2019
1747,Serviços de Telecomunicações - Pacote de Dados,"871,51",DANNIEL OLIVEIRA,01/08/2019
1748,Vale-Refeição e Vale-Alimentação,"4.815,00",DANNIEL OLIVEIRA,01/08/2019
1749,Combustíveis e Lubrificantes Automotivos,"6.000,00",DAVID DURAND,01/08/2019
1750,Locação de Veículos,"15.810,00",DAVID DURAND,01/08/2019
1751,Serviços Técnicos Profissionais,"15.120,00",DAVID DURAND,01/08/2019
1752,Serviços de Telecomunicações - Pacote de Dados,"634,42",DAVID DURAND,01/08/2019
1753,Vale-Refeição e Vale-Alimentação,"4.815,00",DAVID DURAND,01/08/2019
1754,Combustíveis e Lubrificantes Automotivos,"6.000,00",DELEGADO CAVALCANTE,01/08/2019
1755,Convênio com Plano de Saúde,"3.073,84",DELEGADO CAVALCANTE,01/08/2019
1756,Despesas de Teleprocessamento,"106,29",DELEGADO CAVALCANTE,01/08/2019
1757,Hospedagens,"577,51",DELEGADO CAVALCANTE,01/08/2019
1758,Passagens Aéreas,"8.170,08",DELEGADO CAVALCANTE,01/08/2019
1759,Serviços de Telecomunicações - Pacote de Dados,"539,10",DELEGADO CAVALCANTE,01/08/2019
1760,Vale-Refeição e Vale-Alimentação,"4.815,00",DELEGADO CAVALCANTE,01/08/2019
1761,Assinaturas de Periódicos e Anuidades,"610,53",DR. SARTO,01/08/2019
1762,Combustíveis e Lubrificantes Automotivos,"6.000,00",DR. SARTO,01/08/2019
1763,Convênio com Plano de Saúde,"3.312,93",DR. SARTO,01/08/2019
1764,Divulgação das Atividades Parlamentares,"8.000,00",DR. SARTO,01/08/2019
1765,Locação de Veículos,"10.200,00",DR. SARTO,01/08/2019
1766,Serviços Técnicos Profissionais,"8.100,00",DR. SARTO,01/08/2019
1767,Vale-Refeição e Vale-Alimentação,"3.852,00",DR. SARTO,01/08/2019
1768,Combustíveis e Lubrificantes Automotivos,"6.000,00",DRA SILVANA,01/08/2019
1769,Serviços Gráficos e Editoriais,"5.264,00",DRA SILVANA,01/08/2019
1770,Serviços de Telecomunicações - Pacote de Dados,"1.123,66",DRA SILVANA,01/08/2019
1771,Vale-Refeição e Vale-Alimentação,"4.815,00",DRA SILVANA,01/08/2019
1772,Combustíveis e Lubrificantes Automotivos,"1.050,00",ELMANO,01/08/2019
1773,Divulgação das Atividades Parlamentares,"1.000,00",ELMANO,01/08/2019
1774,Locação de Veículos,"10.885,11",ELMANO,01/08/2019
1775,Serviços Gráficos e Editoriais,"8.495,20",ELMANO,01/08/2019
1776,Serviços de Telecomunicações - Pacote de Dados,"377,91",ELMANO,01/08/2019
1777,Vale-Refeição e Vale-Alimentação,"2.648,25",ELMANO,01/08/2019
1778,Combustíveis e Lubrificantes Automotivos,"6.000,00",ERIKA AMORIM,01/08/2019
1779,Divulgação das Atividades Parlamentares,"11.400,00",ERIKA AMORIM,01/08/2019
1780,Passagens Aéreas,"12.017,41",ERIKA AMORIM,01/08/2019
1781,Passagens Terrestres,"120,02",ERIKA AMORIM,01/08/2019
1782,Vale-Refeição e Vale-Alimentação,"4.815,00",ERIKA AMORIM,01/08/2019
1783,Combustíveis e Lubrificantes Automotivos,"6.000,00",EVANDRO LEITAO,01/08/2019
1784,Serviços Técnicos Profissionais,"21.420,00",EVANDRO LEITAO,01/08/2019
1785,Serviços de Telecomunicações - Pacote de Dados,"30,90",EVANDRO LEITAO,01/08/2019
1786,Vale-Refeição e Vale-Alimentação,"3.852,00",EVANDRO LEITAO,01/08/2019
1787,Combustíveis e Lubrificantes Automotivos,"6.000,00",FERNANDA PESSOA,01/08/2019
1788,Despesas de Teleprocessamento,"550,00",FERNANDA PESSOA,01/08/2019
1789,Divulgação das Atividades Parlamentares,"9.000,00",FERNANDA PESSOA,01/08/2019
1790,Passagens Aéreas,"9.754,79",FERNANDA PESSOA,01/08/2019
1791,Serviços Técnicos Profissionais,"3.060,00",FERNANDA PESSOA,01/08/2019
1792,Serviços de Telecomunicações - Pacote de Dados,"692,42",FERNANDA PESSOA,01/08/2019
1793,Vale-Refeição e Vale-Alimentação,"4.815,00",FERNANDA PESSOA,01/08/2019
1794,Combustíveis e Lubrificantes Automotivos,"6.000,00",FERNANDO HUGO,01/08/2019
1795,Passagens Aéreas,"2.659,05",FERNANDO HUGO,01/08/2019
1796,Serviços Técnicos Profissionais,"8.100,00",FERNANDO HUGO,01/08/2019
1797,Serviços de Telecomunicações - Pacote de Dados,"755,06",FERNANDO HUGO,01/08/2019
1798,Vale-Refeição e Vale-Alimentação,"1.926,00",FERNANDO HUGO,01/08/2019
1799,Divulgação das Atividades Parlamentares,"8.000,00",FERNANDO SANTANA,01/08/2019
1800,Serviços Técnicos Profissionais,"27.360,00",FERNANDO SANTANA,01/08/2019
1801,Serviços de Telecomunicações - Pacote de Dados,"514,21",FERNANDO SANTANA,01/08/2019
